date_vente;heure;magasin;code_produit;libelle_produit;qte;prix_unitaire;mode_paiement
19/10/2025;17:16;Magasin-Bafoussam-01;P-0403;Power Bank 10000mAh;1;15000;Mobile Money
23/09/2025;16:35;Magasin-Douala-01;P-0410;Huile de Coco Bio 500ml;2;4275;Cash
25/07/2025;15:51;Magasin-Yaounde-01;P-0410;Huile de Coco Bio 500ml;1;4500;Cash
11/08/2025;12:52;Magasin-Bafoussam-01;P-0410;Huile de Coco Bio 500ml;1;4500;Mobile Money
09/11/2025;14:14;Magasin-Douala-01;P-0410;Huile de Coco Bio 500ml;1;4500;Cash
09/09/2025;18:17;Magasin-Yaounde-01;P-0414;Set 6 Verres Décorés;1;9000;Carte Bancaire
15/10/2025;20:54;Magasin-Bafoussam-01;P-0410;Huile de Coco Bio 500ml;1;4500;Orange Money
20/10/2025;20:39;Magasin-Douala-01;P-0407;Chemise Homme Slim Fit;1;15500;Mobile Money
30/10/2025;19:28;Magasin-Douala-01;P-0411;Savon Noir Artisanal;1;2000;Carte Bancaire
07/11/2025;14:30;Magasin-Yaounde-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Cash
10/02/2026;12:36;Magasin-Douala-01;P-0413;Mug Personnalisé Céramique;1;5000;Mobile Money
08/06/2025;10:20;Magasin-Yaounde-01;P-0414;Set 6 Verres Décorés;1;8550;Cash
15/06/2025;10:19;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;2;2000;Carte Bancaire
14/05/2026;11:40;Magasin-Douala-01;P-0410;Huile de Coco Bio 500ml;2;4500;Orange Money
21/03/2026;14:53;Magasin-Douala-01;P-0407;Chemise Homme Slim Fit;1;15500;Carte Bancaire
02/08/2025;18:12;Magasin-Yaounde-01;P-0412;Crème Karité Pure 250g;1;3500;Cash
08/12/2025;20:07;Magasin-Douala-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Orange Money
04/10/2025;20:29;Magasin-Bafoussam-01;P-0401;Casque BT XR200;1;24500;Carte Bancaire
19/05/2026;14:08;Magasin-Douala-02;P-0401;Casque Bluetooth XR-200;1;24500;Mobile Money
20/11/2025;18:04;Magasin-Douala-02;P-0401;Casque Bluetooth XR-200;1;24500;Mobile Money
06/02/2026;19:25;Magasin-Yaounde-01;P-0406;Robe Wax Modèle Akwa;1;28000;Cash
12/05/2026;10:41;Magasin-Bafoussam-01;P-0403;Power Bank 10000mAh;2;15000;Cash
05/12/2025;16:16;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;1;2000;Mobile Money
27/12/2025;18:20;Magasin-Yaounde-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Carte Bancaire
29/12/2025;09:34;Magasin-Yaounde-01;P-0411;Savon Noir Artisanal;1;2000;Cash
10/11/2025;10:25;Magasin-Yaounde-01;P-0407;Chemise Homme Slim Fit;1;15500;Mobile Money
03/05/2026;08:11;Magasin-Yaounde-01;P-0409;Sandales Cuir Artisanales;2;12500;Carte Bancaire
26/11/2025;19:13;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;3;4500;Mobile Money
09/02/2026;21:31;Magasin-Bafoussam-01;P-0405;Enceinte Bluetooth Mini;2;12000;Cash
01/12/2025;19:44;Magasin-Yaounde-01;P-0405;Enceinte Bluetooth Mini;1;12000;Carte Bancaire
04/10/2025;14:18;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;2;1800;Cash
07/03/2026;19:42;Magasin-Bafoussam-01;P-0406;Robe Wax Modèle Akwa;1;28000;Orange Money
15/03/2026;18:55;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;1;4500;Mobile Money
09/10/2025;10:55;Magasin-Douala-02;P-0401;Casque Bluetooth XR-200;1;24500;Orange Money
09/01/2026;21:39;Magasin-Yaounde-01;P-0401;casque bluetooth xr-200;2;24500;Orange Money
16/03/2026;10:23;Magasin-Yaounde-01;P-0401;Casque BT XR200;1;24500;Cash
19/12/2025;11:08;Magasin-Douala-02;P-0402;Chargeur Solaire Portable 20W;1;18000;Carte Bancaire
27/02/2026;12:09;Magasin-Douala-02;P-0404;Montre Connectée FitTrack;1;32000;Cash
13/10/2025;20:19;Magasin-Yaounde-01;P-0407;Chemise Homme Slim Fit;1;15500;Carte Bancaire
26/02/2026;21:09;Magasin-Douala-01;P-0412;Crème Karité Pure 250g;3;3500;Cash
15/09/2025;18:58;Magasin-Bafoussam-01;P-0403;Power Bank 10000mAh;1;15000;Orange Money
08/05/2026;08:17;Magasin-Yaounde-01;P-0413;Mug Personnalisé Céramique;2;5000;Mobile Money
10/03/2026;16:05;Magasin-Douala-02;P-0401;Casque Bluetooth XR-200;3;24500;Cash
05/04/2026;15:49;Magasin-Yaounde-01;P-0409;Sandales Cuir Artisanales;1;12500;Carte Bancaire
18/10/2025;17:13;Magasin-Douala-02;P-0403;Power Bank 10000mAh;1;15000;Orange Money
08/04/2026;19:37;Magasin-Yaounde-01;P-0403;Power Bank 10000mAh;1;15000;Mobile Money
06/02/2026;10:04;Magasin-Bafoussam-01;P-0401;Casque Bluetooth XR-200;1;24500;Orange Money
23/11/2025;15:04;Magasin-Douala-02;P-0414;Set 6 Verres Décorés;1;9000;Mobile Money
30/11/2025;16:36;Magasin-Douala-02;P-0413;Mug Personnalisé Céramique;1;4750;Mobile Money
27/06/2025;11:53;Magasin-Douala-02;P-0410;Huile de Coco Bio 500ml;1;4500;Mobile Money
10/04/2026;11:56;Magasin-Yaounde-01;P-0414;Set 6 Verres Décorés;3;9000;Carte Bancaire
09/12/2025;21:57;Magasin-Douala-01;P-0401;Casque Bluetooth XR-200;1;24500;Mobile Money
28/01/2026;08:35;Magasin-Douala-01;P-0410;Huile de Coco Bio 500ml;1;4500;Carte Bancaire
19/03/2026;08:08;Magasin-Bafoussam-01;P-0405;Enceinte Bluetooth Mini;1;11400;Carte Bancaire
02/12/2025;17:01;Magasin-Douala-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Orange Money
06/04/2026;09:29;Magasin-Yaounde-01;P-0412;Crème Karité Pure 250g;1;3500;Mobile Money
13/06/2025;16:40;Magasin-Yaounde-01;P-0413;Mug Personnalisé Céramique;1;5000;Orange Money
03/11/2025;12:39;Magasin-Douala-02;P-0405;Enceinte Bluetooth Mini;2;12000;Orange Money
12/02/2026;13:06;Magasin-Douala-02;P-0406;Robe Wax Modèle Akwa;1;28000;Mobile Money
14/08/2025;14:16;Magasin-Douala-02;P-0405;Enceinte Bluetooth Mini;1;12000;Carte Bancaire
11/12/2025;08:28;Magasin-Bafoussam-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Carte Bancaire
15/01/2026;09:48;Magasin-Bafoussam-01;P-0409;Sandales Cuir Artisanales;1;12500;Orange Money
06/01/2026;09:32;Magasin-Yaounde-01;P-0410;Huile de Coco Bio 500ml;1;4500;Cash
27/06/2025;10:17;Magasin-Douala-01;P-0407;Chemise Homme Slim Fit;1;15500;Orange Money
17/10/2025;12:02;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;1;2000;Carte Bancaire
09/12/2025;17:11;Magasin-Douala-02;P-0401;Casque Bluetooth XR-200;3;24500;Mobile Money
10/02/2026;13:24;Magasin-Douala-01;P-0412;Crème Karité Pure 250g;2;3500;Cash
03/06/2025;20:21;Magasin-Yaounde-01;P-0412;Crème Karité Pure 250g;1;3500;Mobile Money
01/09/2025;14:24;Magasin-Douala-01;P-0406;Robe Wax Modèle Akwa;1;28000;Carte Bancaire
03/03/2026;18:38;Magasin-Douala-01;P-0413;Mug Personnalisé Céramique;1;5000;Cash
16/10/2025;11:52;Magasin-Douala-02;P-0412;Crème Karité Pure 250g;1;3500;Cash
13/11/2025;16:17;Magasin-Bafoussam-01;P-0410;Huile de Coco Bio 500ml;1;4500;Orange Money
23/06/2025;08:31;Magasin-Yaounde-01;P-0411;Savon Noir Artisanal;1;2000;Cash
14/01/2026;08:50;Magasin-Bafoussam-01;P-0404;Montre Connectée FitTrack;1;32000;Carte Bancaire
24/10/2025;16:28;Magasin-Bafoussam-01;P-0412;Crème Karité Pure 250g;1;3500;Cash
26/05/2026;10:55;Magasin-Bafoussam-01;P-0408;Sac à Main Cuir Bafia;1;35000;Orange Money
12/02/2026;09:33;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;1;2000;Carte Bancaire
03/12/2025;18:04;Magasin-Bafoussam-01;P-0401;Casque Bluetooth XR-200;1;24500;Cash
29/05/2026;17:11;Magasin-Douala-02;P-0406;Robe Wax Modèle Akwa;1;28000;Mobile Money
13/06/2025;19:52;Magasin-Douala-02;P-0405;Enceinte Bluetooth Mini;1;12000;Mobile Money
27/11/2025;20:30;Magasin-Yaounde-01;P-0404;Montre Connectée FitTrack;1;32000;Mobile Money
12/12/2025;12:20;Magasin-Douala-02;P-0411;Savon Noir Artisanal;1;2000;Mobile Money
23/12/2025;19:19;Magasin-Bafoussam-01;P-0412;Crème Karité Pure 250g;1;3500;Orange Money
22/12/2025;21:30;Magasin-Yaounde-01;P-0411;Savon Noir Artisanal;2;2000;Orange Money
04/08/2025;18:47;Magasin-Douala-02;P-0414;Set 6 Verres Décorés;3;9000;Orange Money
07/07/2025;08:18;Magasin-Bafoussam-01;P-0405;Enceinte Bluetooth Mini;1;12000;Cash
12/08/2025;14:04;Magasin-Bafoussam-01;P-0410;Huile de Coco Bio 500ml;1;4500;Cash
02/03/2026;18:14;Magasin-Douala-01;P-0410;Huile de Coco Bio 500ml;1;4500;Mobile Money
01/02/2026;14:55;Magasin-Douala-01;P-0406;Robe Wax Modèle Akwa;3;28000;Carte Bancaire
08/09/2025;19:12;Magasin-Douala-02;P-0404;Montre Connectée FitTrack;3;32000;Cash
11/07/2025;09:51;Magasin-Douala-01;P-0412;Crème Karité Pure 250g;2;3500;Orange Money
23/11/2025;13:23;Magasin-Douala-02;P-0405;Enceinte Bluetooth Mini;1;12000;Orange Money
09/07/2025;14:38;Magasin-Bafoussam-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Cash
07/03/2026;16:29;Magasin-Douala-02;P-0405;Enceinte Bluetooth Mini;2;12000;Carte Bancaire
21/12/2025;17:27;Magasin-Douala-02;P-0405;Enceinte Bluetooth Mini;3;12000;Carte Bancaire
03/03/2026;12:04;Magasin-Douala-02;P-0411;Savon Noir Artisanal;1;2000;Carte Bancaire
16/12/2025;19:07;Magasin-Douala-01;P-0413;Mug Personnalisé Céramique;1;5000;Orange Money
04/11/2025;14:45;Magasin-Bafoussam-01;P-0402;Chargeur Solaire Portable 20W;3;18000;Carte Bancaire
30/07/2025;17:29;Magasin-Douala-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Mobile Money
03/06/2025;21:54;Magasin-Yaounde-01;P-0411;Savon Noir Artisanal;1;1800;Cash
05/05/2026;09:58;Magasin-Yaounde-01;P-0412;Crème Karité Pure 250g;1;3500;Mobile Money
21/04/2026;13:46;Magasin-Yaounde-01;P-0409;Sandales Cuir Artisanales;2;12500;Carte Bancaire
02/09/2025;09:25;Magasin-Douala-02;P-0406;Robe Wax Modèle Akwa;1;28000;Cash
28/11/2025;10:18;Magasin-Douala-02;P-0414;Set 6 Verres Décorés;1;9000;Carte Bancaire
03/03/2026;12:00;Magasin-Yaounde-01;P-0403;Power Bank 10000mAh;1;15000;Carte Bancaire
24/10/2025;12:57;Magasin-Yaounde-01;P-0413;Mug Personnalisé Céramique;1;5000;Carte Bancaire
25/11/2025;12:23;Magasin-Douala-02;P-0403;Power Bank 10000mAh;1;15000;Cash
19/02/2026;17:40;Magasin-Bafoussam-01;P-0413;Mug Personnalisé Céramique;3;5000;Mobile Money
17/10/2025;20:12;Magasin-Douala-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Orange Money
26/04/2026;14:22;Magasin-Douala-01;P-0407;Chemise Homme Slim Fit;1;15500;Orange Money
30/11/2025;11:21;Magasin-Douala-01;P-0402;Chargeur Solaire Portable 20W;1;18000;Carte Bancaire
20/07/2025;14:26;Magasin-Douala-02;P-0407;Chemise Homme Slim Fit;1;15500;Cash
06/07/2025;18:06;Magasin-Douala-02;P-0411;Savon Noir Artisanal;1;2000;Cash
10/01/2026;17:54;Magasin-Yaounde-01;P-0409;Sandales Cuir Artisanales;2;12500;Cash
17/03/2026;10:38;Magasin-Douala-02;P-0412;Crème Karité Pure 250g;2;3500;Orange Money
25/11/2025;17:44;Magasin-Douala-01;P-0413;Mug Personnalisé Céramique;2;5000;Carte Bancaire
16/07/2025;18:11;Magasin-Yaounde-01;P-0411;Savon Noir Artisanal;3;1900;Mobile Money
06/09/2025;11:25;Magasin-Bafoussam-01;P-0401;Casque Bluetooth XR-200;1;24500;Mobile Money
29/05/2026;08:29;Magasin-Bafoussam-01;P-0404;Montre Connectée FitTrack;1;32000;Orange Money
01/10/2025;15:32;Magasin-Bafoussam-01;P-0411;Savon Noir Artisanal;1;2000;Carte Bancaire
25/07/2025;11:12;Magasin-Douala-01;P-0410;Huile de Coco Bio 500ml;1;4500;Mobile Money
17/11/2025;13:35;Magasin-Yaounde-01;P-0410;Huile de Coco Bio 500ml;1;4500;Orange Money
