product_id,nom,categorie,prix_reference,cout
P-0401,Casque Bluetooth XR-200,Électronique,24500,14000
P-0402,Chargeur Solaire Portable 20W,Électronique,18000,9500
P-0403,Power Bank 10000mAh,Électronique,15000,8000
P-0404,Montre Connectée FitTrack,Électronique,32000,19000
P-0405,Enceinte Bluetooth Mini,Électronique,12000,6500
P-0406,Robe Wax Modèle Akwa,Mode,28000,12000
P-0407,Chemise Homme Slim Fit,Mode,15500,7000
P-0408,Sac à Main Cuir Bafia,Mode,35000,18000
P-0409,Sandales Cuir Artisanales,Mode,12500,5500
P-0410,Huile de Coco Bio 500ml,Beauté & Soins,4500,1800
P-0411,Savon Noir Artisanal,Beauté & Soins,2000,700
P-0412,Crème Karité Pure 250g,Beauté & Soins,3500,1300
P-0413,Mug Personnalisé Céramique,Maison & Cuisine,5000,2000
P-0414,Set 6 Verres Décorés,Maison & Cuisine,9000,4000
